round,winner,results,year,gender,player1,player2,firstServe1,firstServe2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,break1,break2,return1,return2,net1,net2
First,Juan Monaco,6-3 7-6(5) 6-1,2010,m,Juan Monaco,Ernests Gulbis,66%,54%,69%,59%,52%,38%,42%,30%,47%,37%,69%,56%
First,Michael Llodra,6-3 7-5 6-4,2010,m,Michael Llodra,Martin Vassallo Arguello,63%,71%,76%,62%,60%,45%,33%,25%,42%,29%,75.0%,50.0%
First,Illya Marchenko,7-6(2) 7-5 6-3,2010,m,Illya Marchenko,Carlos Moya,57%,56%,74%,65%,53%,49%,45%,43%,41%,33%,77.0%,70.0%
First,Nikolay Davydenko,6-1 6-0 6-3,2010,m,Nikolay Davydenko,Dieter Kindlmann,60%,60%,67%,45%,63%,28%,45%,33%,57%,34%,60%,80%
First,Novak Djokovic,7-5 6-3 6-2,2010,m,Novak Djokovic,Daniel Gimeno-Traver,69%,60%,76%,71%,57%,33%,36%,17%,42%,28%,63%,82%
First,Marco Chiudinelli,7-6(7) 7-6(3) 4-6 6-3,2010,m,Marco Chiudinelli,Marinko Matosevic,58%,55%,72%,60%,51%,59%,50%,42%,39%,36%,77%,70%
First,Michael Berrer,6-1 6-2 6-1,2010,m,Michael Berrer,Kristof Vliegen,69%,68%,92%,54%,59%,24%,50%,23.0%,53%,17%,70%,38%
First,Denis Istomin,6-2 6-2 6-0,2010,m,Denis Istomin,Jeremy Chardy,61%,49%,83%,60%,65%,35%,58%,0%,47%,24%,76.0%,58.0%
First,Mikhail Youzhny,6-7(9) 4-6 7-6(2) 7-6(4) 6-4,2010,m,Mikhail Youzhny,Richard Gasquet,57%,54%,73%,79%,51%,42%,60%,38%,36%,35%,65%,75%
First,Jan Hajek,7-6(2) 7-5 6-1,2010,m,Jan Hajek,Robby Ginepri,67%,63%,70%,63%,53%,40%,38%,25%,45%,35%,73.0%,57.0%
First,Lukasz Kubot,6-3 6-3 6-3,2010,m,Lukasz Kubot,Mischa Zverev,63%,51%,69%,63%,69%,39%,64%,67%,47%,30%,73.0%,57.0%
First,Santiago Giraldo,6-4 6-2 6-2,2010,m,Santiago Giraldo,Tommy Robredo,54%,57%,80%,60%,68%,45%,33%,0%,43%,26%,75.0%,65.0%
First,Jo-Wilfried Tsonga,6-3 6-4 6-4,2010,m,Jo-Wilfried Tsonga,Sergiy Stakhovsky,66%,60%,81%,61%,53%,47%,50%,33%,42%,28%,52%,56%
First,Taylor Dent,6-1 6-3 6-3,2010,m,Taylor Dent,Fabio Fognini,53%,42%,79%,48%,44%,35%,67%,38%,53%,36%,61%,70%
First,Janko Tipsarevic,6-2 6-4 7-6(3),2010,m,Janko Tipsarevic,Ryan Harrison,61%,54%,65%,63%,60%,45%,22%,18%,42%,35%,69.0%,63.0%
First,Tommy Haas,6-7(5) 6-4 6-2 6-1,2010,m,Tommy Haas,Simon Greul,64%,48%,67%,64%,68%,42%,35%,50%,45%,31%,70%,75%
First,Nicolas Almagro,7-6(12) 6-4 2-6 4-6 8-6,2010,m,Nicolas Almagro,Xavier Malisse,61%,57%,74%,75%,59%,56%,23%,44%,33%,31%,69.0%,61.0%
First,Benjamin Becker,7-6(5) 7-5 7-5,2010,m,Benjamin Becker,Grega Zemlja,51%,57%,80%,62%,47%,61%,55%,50%,37%,34%,76.0%,65.0%
First,Alejandro Falla,7-5 6-3 6-1,2010,m,Alejandro Falla,Marcos Daniel,52%,36%,80%,81%,57%,43%,50%,0%,40%,30%,80.0%,48.0%
First,Marcel Granollers,5-7 2-6 6-4 6-4 6-2,2010,m,Marcel Granollers,Robin Soderling,65%,62%,61%,67%,58%,45%,47%,50%,40%,40%,64%,71%
First,Andy Roddick,6-1 6-4 6-4,2010,m,Andy Roddick,Thiemo de Bakker,64%,71%,75%,65%,69%,50%,27%,0%,39%,27%,58%,50%
First,Thomaz Bellucci,6-3 7-5 4-6 6-4,2010,m,Thomaz Bellucci,Teimuraz Gabashvili,64%,57%,74%,66%,49%,47%,15%,19%,39%,34%,62.0%,49.0%
First,Feliciano Lopez,6-1 6-4 7-5,2010,m,Feliciano Lopez,Pablo Cuevas,67%,61%,75%,71%,48%,36%,64%,40%,39%,33%,69.0%,60.0%
First,Rainer Schuettler,6-3 2-6 6-4 6-3,2010,m,Rainer Schuettler,Sam Querrey,57%,58%,73%,76%,49%,41%,50%,60%,37%,36%,72.0%,62.0%
First,Tomas Berdych,6-0 6-3 6-3,2010,m,Tomas Berdych,Robin Haase,50%,60%,79%,53%,64%,34%,70%,33%,51%,28%,69.0%,65.0%
First,Evgeny Korolev,6-2 7-5 7-5,2010,m,Evgeny Korolev,Daniel Brands,57%,52%,72%,59%,49%,48%,78%,43%,44%,35%,72.0%,73.0%
First,Marsel Ilhan,6-4 6-3 7-5,2010,m,Marsel Ilhan,Sebastien Grosjean,67%,63%,66%,66%,61%,49%,38%,9%,40%,35%,73.0%,59.0%
First,Fernando Gonzalez,6-3 6-4 3-6 6-1,2010,m,Fernando Gonzalez,Olivier Rochus,59%,65%,88%,63%,46%,42%,40%,43%,43%,28%,71%,60%
First,Marin Cilic,7-5 7-5 6-3,2010,m,Marin Cilic,Fabrice Santoro,59%,62%,80%,66%,55%,49%,29%,50%,40%,30%,81%,50%
First,Bernard Tomic,6-3 6-4 6-4,2010,m,Bernard Tomic,Guillaume Rufin,66%,57%,70%,56%,62%,50%,46%,38%,46%,33%,67%,58%
First,Igor Kunitsyn,6-1 2-6 6-4 6-2,2010,m,Igor Kunitsyn,Jose Acasuso,83%,58%,68%,64%,48%,39%,55%,21%,44%,35%,61.0%,59.0%
First,Stanislas Wawrinka,6-3 6-3 6-2,2010,m,Stanislas Wawrinka,Guillermo Garcia-Lopez,57%,60%,83%,63%,66%,42%,71%,0%,41%,23%,67%,53%
First,Viktor Troicki,4-6 6-3 6-1 6-3,2010,m,Viktor Troicki,Nicolas Lapentti,55%,45%,77%,58%,54%,48%,58%,20%,46%,33%,66.0%,71.0%
First,Florian Mayer,0-6 2-6 6-4 6-2 6-2,2010,m,Florian Mayer,Philipp Petzschner,69%,58%,64%,70%,49%,44%,67%,67%,39%,40%,71.0%,63.0%
First,James Blake,7-5 7-5 6-2,2010,m,James Blake,Arnaud Clement,63%,63%,81%,63%,60%,53%,36%,50%,40%,27%,77%,58%
First,Juan Martin Del Potro,6-4 6-4 3-6 6-2,2010,m,Juan Martin Del Potro,Michael Russell,60%,65%,72%,64%,48%,46%,43%,50%,40%,35%,59%,72%
First,Andy Murray,6-1 6-1 6-2,2010,m,Andy Murray,Kevin Anderson,35%,69%,87%,51%,60%,26%,67%,25%,55%,30%,89%,43%
First,Marc Gicquel,7-6(2) 7-6(3) 6-3,2010,m,Marc Gicquel,Simone Bolelli,54%,66%,74%,70%,58%,46%,33%,25%,38%,32%,54.0%,61.0%
First,Jarkko Nieminen,6-2 7-5 6-4,2010,m,Jarkko Nieminen,Nick Lindahl,78%,62%,73%,67%,62%,44%,38%,13%,41%,29%,70%,65%
First,Florent Serra,6-1 6-7(3) 6-4 4-6 6-3,2010,m,Florent Serra,Jurgen Melzer,67%,62%,70%,69%,67%,51%,45%,18%,36%,31%,64.0%,59.0%
First,John Isner,6-3 6-3 3-6 5-7 6-4,2010,m,John Isner,Andreas Seppi,61%,56%,78%,76%,48%,56%,50%,33%,30%,33%,66.0%,62.0%
First,Louk Sorensen,6-4 3-6 6-2 6-1,2010,m,Louk Sorensen,Yen-Hsun Lu,71%,61%,77%,66%,58%,39%,43%,67%,43%,28%,74.0%,53.0%
First,Antonio Veic,6-4 3-6 6-7(3) 6-1 6-4,2010,m,Antonio Veic,Daniel Koellerer,68%,80%,64%,61%,52%,41%,57%,50%,42%,39%,nan%,nan%
First,Gael Monfils,6-4 6-4 6-4,2010,m,Gael Monfils,Matthew Ebden,65%,64%,84%,70%,63%,49%,50%,100%,37%,22%,63%,68%
First,Julien Benneteau,0-6 6-4 7-6(4) 7-6(2),2010,m,Julien Benneteau,David Guez,69%,63%,68%,54%,45%,69%,57%,50%,39%,37%,71.0%,57.0%
First,Andrey Golubev,6-2 1-6 6-3 6-3,2010,m,Andrey Golubev,Mardy Fish,65%,52%,63%,67%,54%,39%,70%,44%,45%,39%,73%,55%
First,Ivan Ljubicic,6-1 6-2 6-2,2010,m,Ivan Ljubicic,Jason Murray Kubler,72%,59%,86%,53%,71%,40%,43%,33.0%,51%,18%,73%,60%
First,Philipp Kohlschreiber,6-1 7-5 6-1,2010,m,Philipp Kohlschreiber,Horacio Zeballos,70%,64%,83%,61%,52%,26%,54%,33%,50%,25%,73.0%,55.0%
First,Wayne Odesnik,4-6 6-1 6-4 6-2,2010,m,Wayne Odesnik,Blaz Kavcic,64%,63%,72%,57%,51%,39%,44%,67%,48%,35%,72.0%,51.0%
First,Lukas Lacko,6-4 6-4 6-0,2010,m,Lukas Lacko,Leonardo Mayer,61%,66%,89%,61%,52%,50%,63%,20.0%,41%,25%,70.0%,58.0%
First,Rafael Nadal,7-6(0) 6-1 6-4,2010,m,Rafael Nadal,Peter Luczak,69%,59%,76%,70%,56%,35%,44%,14%,41%,30%,86%,72%
Final,Novak Djokovic,6-4 6-2 6-3,2011,m,Novak Djokovic,Andy Murray,67%,53%,70%,64%,60%,31%,39%,75%,51%,33%,64%,39%
semi,Andy Murray,4-6 7-6(2) 6-1 7-6(2),2011,m,Andy Murray,David Ferrer,60%,67%,75%,60%,37%,49%,55%,28%,44%,40%,71%,70%
semi,Novak Djokovic,7-6(3) 7-5 6-4,2011,m,Novak Djokovic,Roger Federer,69%,60%,73%,71%,41%,48%,36%,30%,38%,37%,62%,65%
quarter,David Ferrer,6-4 6-2 6-3,2011,m,David Ferrer,Rafael Nadal,68%,66%,72%,55%,57%,37%,47%,33%,51%,33%,76%,74%
quarter,Andy Murray,7-5 6-3 6-7(3) 6-3,2011,m,Andy Murray,Alexandr Dolgopolov,58%,58%,75%,71%,61%,35%,39%,80%,44%,31%,68%,59%
quarter,Novak Djokovic,6-1 7-6(5) 6-1,2011,m,Novak Djokovic,Tomas Berdych,68%,53%,82%,71%,41%,36%,50%,50%,46%,31%,75%,47%
quarter,Roger Federer,6-1 6-3 6-3,2011,m,Roger Federer,Stanislas Wawrinka,77%,58%,72%,57%,76%,56%,71%,0%,43%,27%,63%,48%
Fourth,Rafael Nadal,6-2 6-4 6-3,2011,m,Rafael Nadal,Marin Cilic,73%,55%,79%,76%,48%,33%,36%,0%,43%,29%,94%,68%
Fourth,David Ferrer,4-6 6-2 6-3 6-4,2011,m,David Ferrer,Milos Raonic,71%,61%,78%,65%,55%,51%,36%,22%,40%,29%,94%,62%
Fourth,Alexandr Dolgopolov,1-6 6-3 6-1 4-6 6-2,2011,m,Alexandr Dolgopolov,Robin Soderling,50%,62%,79%,59%,44%,38%,53%,67%,49%,38%,67%,64%
Fourth,Andy Murray,6-3 6-1 6-1,2011,m,Andy Murray,Jurgen Melzer,57%,65%,83%,51%,57%,32%,50%,13%,56%,29%,68%,58%
Fourth,Tomas Berdych,6-4 6-2 6-3,2011,m,Tomas Berdych,Fernando Verdasco,65%,57%,88%,69%,74%,44%,38%,100%,42%,17%,100%,78%
Fourth,Novak Djokovic,6-3 6-4 6-0,2011,m,Novak Djokovic,Nicolas Almagro,75%,59%,86%,61%,47%,44%,38%,0%,46%,24%,82%,50%
Fourth,Stanislas Wawrinka,6-3 6-4 6-4,2011,m,Stanislas Wawrinka,Andy Roddick,49%,61%,92%,74%,65%,41%,23%,0%,39%,22%,88%,65%
Fourth,Roger Federer,6-3 3-6 6-3 6-2,2011,m,Roger Federer,Tommy Robredo,69%,62%,79%,72%,61%,49%,40%,50%,37%,27%,72%,58%
Third,Rafael Nadal,6-2 7-5 6-3,2011,m,Rafael Nadal,Bernard Tomic,58%,64%,68%,64%,54%,35%,37%,25%,45%,37%,68%,62%
Third,Marin Cilic,4-6 6-2 6-7(5) 7-6(2) 9-7,2011,m,Marin Cilic,John Isner,57%,69%,76%,76%,68%,54%,33%,9%,30%,26%,52%,67%
Third,Milos Raonic,6-4 7-5 4-6 6-4,2011,m,Milos Raonic,Mikhail Youzhny,68%,61%,71%,63%,61%,57%,75%,80%,39%,31%,48%,44%
Third,David Ferrer,6-2 6-2 6-1,2011,m,David Ferrer,Richard Berankis,58%,57%,88%,50%,58%,33%,42%,100%,54%,24%,82%,64%
Third,Robin Soderling,6-3 6-1 6-4,2011,m,Robin Soderling,Jan Hernych,60%,65%,84%,53%,53%,44%,50%,33%,49%,27%,81%,64%
Third,Alexandr Dolgopolov,3-6 6-3 3-6 6-1 6-1,2011,m,Alexandr Dolgopolov,Jo-Wilfried Tsonga,53%,60%,81%,71%,48%,33%,60%,50%,41%,34%,50%,67%
Third,Jurgen Melzer,6-7(5) 6-2 6-1 4-3 ret.,2011,m,Jurgen Melzer,Marcos Baghdatis,66%,62%,72%,63%,58%,51%,54%,25%,41%,32%,58%,52%
Third,Andy Murray,6-1 6-1 6-2,2011,m,Andy Murray,Guillermo Garcia-Lopez,64%,65%,78%,58%,57%,21%,73%,50%,52%,29%,73%,57%
Third,Tomas Berdych,6-2 7-6(3) 6-2,2011,m,Tomas Berdych,Richard Gasquet,71%,56%,77%,68%,65%,41%,50%,25%,42%,26%,59%,60%
Third,Fernando Verdasco,6-2 6-4 6-3,2011,m,Fernando Verdasco,Kei Nishikori,73%,67%,73%,64%,59%,33%,60%,25%,44%,30%,62%,53%
Third,Nicolas Almagro,6-4 7-6(8) 6-3,2011,m,Nicolas Almagro,Ivan Ljubicic,63%,55%,84%,83%,73%,54%,67%,0%,29%,20%,65%,68%
Third,Novak Djokovic,6-2 ret.,2011,m,Novak Djokovic,Viktor Troicki,77%,61%,59%,65%,80%,13%,50%,100%,54%,36%,60%,45%
Third,Andy Roddick,2-6 7-6(2) 6-2 6-2,2011,m,Andy Roddick,Robin Haase,68%,61%,78%,70%,56%,42%,56%,50%,39%,28%,53%,70%
Third,Stanislas Wawrinka,7-6(4) 6-2 6-3,2011,m,Stanislas Wawrinka,Gael Monfils,63%,57%,75%,61%,54%,43%,29%,33%,44%,32%,64%,57%
Third,Tommy Robredo,5-7 6-2 6-4 6-2,2011,m,Tommy Robredo,Sergiy Stakhovsky,62%,67%,64%,61%,58%,40%,57%,21%,44%,37%,73%,60%
Third,Roger Federer,6-3 6-3 6-1,2011,m,Roger Federer,Xavier Malisse,64%,60%,66%,53%,57%,35%,41%,67%,53%,37%,68%,58%
Second,Rafael Nadal,6-2 6-1 6-1,2011,m,Rafael Nadal,Ryan Sweeting,63%,73%,83%,46%,54%,38%,53%,50%,53%,26%,94%,69%
Second,Bernard Tomic,7-6(4) 7-6(3) 6-3,2011,m,Bernard Tomic,Feliciano Lopez,63%,59%,82%,72%,55%,59%,60%,25%,33%,27%,74%,78%
Second,John Isner,4-6 6-4 6-2 6-1,2011,m,John Isner,Radek Stepanek,76%,59%,79%,73%,63%,53%,71%,13%,34%,24%,65%,45%
Second,Marin Cilic,6-3 7-6(1) 6-1,2011,m,Marin Cilic,Santiago Giraldo,47%,68%,83%,65%,60%,52%,80%,8%,38%,27%,69%,43%
Second,Mikhail Youzhny,6-3 6-1 5-7 4-6 6-1,2011,m,Mikhail Youzhny,Blaz Kavcic,58%,62%,74%,65%,55%,46%,70%,23%,40%,33%,71%,53%
Second,Milos Raonic,7-6(3) 6-3 7-6(4),2011,m,Milos Raonic,Michael Llodra,67%,62%,88%,76%,68%,51%,33%,50%,33%,19%,63%,55%
Second,Richard Berankis,6-1 6-0 2-0 ret.,2011,m,Richard Berankis,David Nalbandian,58%,61%,84%,43%,72%,28%,50%,0%,59%,20%,67%,38%
Second,David Ferrer,6-0 6-1 7-5,2011,m,David Ferrer,Michael Russell,62%,57%,82%,66%,71%,29%,50%,43.0%,48%,21%,89%,76%
Second,Robin Soderling,6-3 7-6(1) 6-1,2011,m,Robin Soderling,Gilles Muller,58%,60%,93%,78%,67%,40%,75%,29.0%,37%,17%,77%,73%
Second,Jan Hernych,6-2 6-7(11) 6-4 6-7(3) 8-6,2011,m,Jan Hernych,Thomaz Bellucci,70%,63%,69%,68%,43%,40%,53%,24%,41%,38%,67.0%,63.0%
Second,Alexandr Dolgopolov,6-3 6-0 3-6 7-6(3),2011,m,Alexandr Dolgopolov,Benjamin Becker,54%,55%,86%,70%,72%,48%,44%,100%,39%,20%,69.0%,67.0%
Second,Jo-Wilfried Tsonga,6-3 7-6(1) 7-6(5),2011,m,Jo-Wilfried Tsonga,Andreas Seppi,64%,57%,79%,76%,44%,49%,50%,25%,34%,32%,59%,77%
Second,Jurgen Melzer,6-2 6-4 6-2,2011,m,Jurgen Melzer,Pere Riba,67%,54%,78%,60%,50%,42%,60%,100%,45%,31%,68%,80%
Second,Marcos Baghdatis,6-1 6-3 4-6 6-3,2011,m,Marcos Baghdatis,Juan Martin Del Potro,47%,68%,88%,61%,51%,51%,50%,40%,41%,31%,62%,80%
Second,Guillermo Garcia-Lopez,6-4 7-6(8) 6-1,2011,m,Guillermo Garcia-Lopez,Eduardo Schwank,54%,65%,87%,67%,62%,41%,44%,50%,39%,24%,59%,61%
Second,Andy Murray,6-1 6-3 6-3,2011,m,Andy Murray,Illya Marchenko,63%,55%,79%,54%,43%,41%,75%,25%,49%,34%,75%,64%
Second,Tomas Berdych,4-6 6-2 6-3 6-4,2011,m,Tomas Berdych,Philipp Kohlschreiber,58%,62%,84%,73%,49%,37%,44%,33%,39%,29%,60%,59%
Second,Richard Gasquet,6-3 7-6(4) 6-4,2011,m,Richard Gasquet,Adrian Mannarino,69%,58%,77%,63%,57%,47%,36%,50%,43%,28%,64%,57%
Second,Kei Nishikori,6-4 6-3 0-6 6-3,2011,m,Kei Nishikori,Florian Mayer,57%,64%,65%,68%,56%,38%,42%,40%,41%,37%,72%,62%
Second,Fernando Verdasco,2-6 4-6 6-4 7-6(0) 6-0,2011,m,Fernando Verdasco,Janko Tipsarevic,64%,55%,77%,67%,40%,47%,46%,25%,41%,35%,79%,52%
Second,Nicolas Almagro,7-5 2-6 4-6 7-6(10) 7-5,2011,m,Nicolas Almagro,Igor Andreev,52%,65%,78%,74%,54%,49%,38%,50%,34%,33%,65%,77%
Second,Ivan Ljubicic,6-3 6-7(2) 6-4 7-6(5),2011,m,Ivan Ljubicic,Benoit Paire,63%,54%,69%,72%,58%,45%,38%,100%,38%,35%,59%,67%
Second,Viktor Troicki,6-4 6-2 1-6 6-3,2011,m,Viktor Troicki,Nicolas Mahut,53%,67%,81%,63%,33%,37%,41%,33%,44%,40%,66.0%,58.0%
Second,Novak Djokovic,7-5 6-7(8) 6-0 6-2,2011,m,Novak Djokovic,Ivan Dodig,65%,58%,75%,68%,64%,47%,35%,20%,39%,28%,56%,47%
Second,Andy Roddick,7-6(7) 6-2 6-3,2011,m,Andy Roddick,Igor Kunitsyn,67%,66%,85%,67%,74%,61%,43%,0%,35%,17%,53%,67%
Second,Robin Haase,6-4 6-4 3-6 6-2,2011,m,Robin Haase,Juan Monaco,67%,69%,65%,58%,47%,47%,47%,29%,45%,40%,68%,67%
Second,Stanislas Wawrinka,7-5 6-3 6-3,2011,m,Stanislas Wawrinka,Grigor Dimitrov,54%,55%,77%,71%,65%,43%,60%,29%,39%,29%,71%,50%
Second,Gael Monfils,6-4 6-3 1-6 6-2,2011,m,Gael Monfils,Frederico Gil,66%,71%,71%,54%,49%,57%,55%,57%,45%,35%,64%,71%
Second,Tommy Robredo,1-6 6-3 6-3 6-3,2011,m,Tommy Robredo,Mardy Fish,71%,59%,73%,70%,47%,40%,36%,38%,41%,34%,77%,51%
Second,Sergiy Stakhovsky,6-3 6-4 6-4,2011,m,Sergiy Stakhovsky,Lukasz Kubot,68%,65%,67%,57%,41%,31%,57%,63%,48%,39%,62%,60%
Second,Xavier Malisse,6-4 6-0 6-1,2011,m,Xavier Malisse,Albert Montanes,52%,54%,76%,49%,61%,33%,47%,50%,56%,31%,71.0%,59.0%
Second,Roger Federer,6-2 6-3 4-6 4-6 6-3,2011,m,Roger Federer,Gilles Simon,61%,57%,79%,56%,43%,55%,44%,56%,43%,35%,72%,44%
First,Rafael Nadal,6-0 5-0 ret.,2011,m,Rafael Nadal,Marcos Daniel,54%,65%,84%,12%,56%,0%,100%,0%,92%,26%,80%,0%
First,Ryan Sweeting,6-4 6-4 6-1,2011,m,Ryan Sweeting,Daniel Gimeno-Traver,74%,61%,70%,66%,41%,40%,86%,8%,43%,35%,69.0%,66.0%
First,Bernard Tomic,6-3 6-2 7-6(5),2011,m,Bernard Tomic,Jeremy Chardy,63%,58%,72%,74%,71%,41%,50%,0%,37%,27%,73%,40%
First,Feliciano Lopez,6-3 7-6(6) 6-3,2011,m,Feliciano Lopez,Alejandro Falla,60%,62%,75%,64%,51%,44%,42%,30%,42%,32%,71.0%,60.0%
First,John Isner,6-3 7-6(8) 6-3,2011,m,John Isner,Florent Serra,73%,63%,81%,74%,48%,50%,60%,25%,33%,27%,85%,56%
First,Radek Stepanek,6-3 6-2 6-3,2011,m,Radek Stepanek,Denis Gremelmayr,57%,52%,81%,59%,71%,48%,60%,33%,46%,23%,65.0%,60.0%
First,Santiago Giraldo,6-4 6-3 5-7 6-1,2011,m,Santiago Giraldo,Rui Machado,61%,61%,66%,57%,62%,41%,69%,56%,48%,35%,62.0%,52.0%
First,Marin Cilic,6-3 6-2 6-1,2011,m,Marin Cilic,Donald Young,63%,64%,81%,58%,64%,41%,55%,0%,46%,25%,92%,57%
First,Mikhail Youzhny,6-2 6-3 7-6(5),2011,m,Mikhail Youzhny,Marsel Ilhan,66%,64%,85%,74%,67%,49%,38%,0%,34%,21%,75.0%,61.0%
First,Blaz Kavcic,2-6 6-4 7-6(4) 7-6(5),2011,m,Blaz Kavcic,Kevin Anderson,65%,64%,74%,76%,43%,49%,44%,45%,33%,36%,71.0%,53.0%
First,Milos Raonic,7-6(3) 6-3 7-6(8),2011,m,Milos Raonic,Bjorn Phau,65%,54%,84%,76%,64%,57%,50%,34.0%,32%,22%,64.0%,59.0%
First,Michael Llodra,6-3 3-6 6-2 6-4,2011,m,Michael Llodra,Juan Ignacio Chela,61%,60%,75%,64%,50%,42%,55%,30%,43%,33%,61%,41%
First,David Nalbandian,3-6 6-4 3-6 7-6(1) 9-7,2011,m,David Nalbandian,Lleyton Hewitt,65%,59%,64%,71%,51%,47%,50%,23%,38%,39%,68%,55%
First,Richard Berankis,6-4 6-2 7-5,2011,m,Richard Berankis,Marinko Matosevic,62%,54%,72%,59%,58%,48%,47%,75%,44%,33%,59%,62%
First,Michael Russell,6-3 6-2 5-7 7-6(9),2011,m,Michael Russell,Matthew Ebden,71%,62%,66%,66%,44%,40%,62%,55%,43%,39%,66%,73%
First,David Ferrer,6-4 6-3 1-6 6-2,2011,m,David Ferrer,Jarkko Nieminen,70%,58%,79%,67%,56%,48%,45%,100%,41%,27%,87%,67%
First,Robin Soderling,6-4 6-2 6-2,2011,m,Robin Soderling,Potito Starace,59%,60%,88%,71%,64%,31%,63%,38.0%,44%,22%,69%,64%
First,Gilles Muller,6-3 7-6(5) 6-4,2011,m,Gilles Muller,Simon Stadler,69%,68%,76%,65%,56%,59%,50%,25%,37%,30%,56.0%,57.0%
First,Jan Hernych,6-3 6-4 3-6 6-2,2011,m,Jan Hernych,Denis Istomin,66%,69%,66%,62%,65%,51%,33%,15%,40%,34%,73.0%,57.0%
First,Thomaz Bellucci,7-5 7-5 4-6 3-6 6-3,2011,m,Thomaz Bellucci,Ricardo Mello,54%,59%,77%,60%,40%,56%,41%,27%,41%,38%,72.0%,57.0%
First,Benjamin Becker,7-6(5) 6-2 6-4,2011,m,Benjamin Becker,Ernests Gulbis,60%,71%,84%,75%,54%,33%,67%,20%,35%,27%,66.0%,63.0%
First,Alexandr Dolgopolov,6-3 6-2 6-4,2011,m,Alexandr Dolgopolov,Mikhail Kukushkin,47%,59%,89%,60%,57%,34%,43%,100%,48%,27%,70.0%,62.0%
First,Andreas Seppi,3-6 2-6 7-5 6-3 6-2,2011,m,Andreas Seppi,Arnaud Clement,57%,57%,74%,65%,48%,52%,27%,63%,39%,36%,72.0%,62.0%
First,Jo-Wilfried Tsonga,4-6 2-6 6-2 6-3 6-4,2011,m,Jo-Wilfried Tsonga,Philipp Petzschner,66%,55%,69%,73%,43%,41%,46%,28%,39%,39%,66%,59%
First,Jurgen Melzer,6-2 6-4 6-2,2011,m,Jurgen Melzer,Vincent Millot,59%,64%,75%,48%,61%,56%,38%,33%,47%,30%,68.0%,55.0%
First,Pere Riba,1-6 7-6(5) 6-2 2-6 6-4,2011,m,Pere Riba,Carsten Ball,56%,68%,64%,77%,61%,45%,44%,71%,31%,36%,64%,54%
First,Juan Martin Del Potro,7-6(13) 6-4 6-4,2011,m,Juan Martin Del Potro,Dudi Sela,63%,53%,76%,73%,49%,56%,67%,40%,35%,33%,45%,62%
First,Marcos Baghdatis,3-6 7-5 6-1 4-6 6-2,2011,m,Marcos Baghdatis,Grega Zemlja,52%,54%,75%,64%,55%,51%,32%,31%,41%,34%,76%,65%
First,Guillermo Garcia-Lopez,6-4 6-4 3-6 6-3,2011,m,Guillermo Garcia-Lopez,Michael Berrer,65%,69%,71%,62%,46%,42%,58%,29%,43%,36%,59.0%,66.0%
First,Eduardo Schwank,6-2 6-0 6-4,2011,m,Eduardo Schwank,Leonardo Mayer,60%,65%,81%,56%,79%,40%,46%,14.0%,47%,20%,66.0%,57.0%
First,Illya Marchenko,6-3 6-4 6-1,2011,m,Illya Marchenko,Ruben Ramirez-Hidalgo,56%,42%,71%,60%,46%,35%,67%,21%,52%,36%,71.0%,66.0%
First,Andy Murray,6-3 6-1 4-2 ret.,2011,m,Andy Murray,Karol Beck,58%,59%,87%,65%,50%,35%,56%,0%,44%,28%,75%,70%
First,Tomas Berdych,6-4 6-0 6-2,2011,m,Tomas Berdych,Marco Crugnola,63%,62%,88%,58%,42%,32%,64%,100%,47%,29%,87%,73%
First,Philipp Kohlschreiber,1-6 4-6 7-6(6) 6-4 6-4,2011,m,Philipp Kohlschreiber,Tobias Kamke,66%,58%,62%,71%,54%,54%,28%,40%,35%,40%,74.0%,54.0%
First,Adrian Mannarino,6-4 6-3 6-4,2011,m,Adrian Mannarino,Ryan Harrison,59%,65%,83%,60%,53%,55%,50%,25%,41%,28%,72.0%,56.0%
First,Richard Gasquet,6-3 6-4 6-4,2011,m,Richard Gasquet,Frank Dancevic,63%,65%,72%,58%,63%,47%,43%,75%,46%,30%,52%,45%
First,Florian Mayer,6-3 4-6 7-6(4) 6-4,2011,m,Florian Mayer,Nikolay Davydenko,67%,64%,68%,73%,62%,43%,36%,23%,37%,33%,70.0%,65.0%
First,Kei Nishikori,6-1 6-4 6-7(4) 6-4,2011,m,Kei Nishikori,Fabio Fognini,69%,62%,69%,63%,50%,43%,53%,21%,43%,36%,65%,68%
First,Janko Tipsarevic,6-3 6-1 6-4,2011,m,Janko Tipsarevic,Mischa Zverev,58%,65%,84%,64%,46%,34%,31%,0%,44%,30%,69.0%,62.0%
First,Fernando Verdasco,6-1 6-3 6-2,2011,m,Fernando Verdasco,Rainer Schuettler,62%,55%,86%,65%,58%,35%,43%,0%,46%,25%,64%,52%
First,Nicolas Almagro,6-4 6-3 6-7(4) 7-5,2011,m,Nicolas Almagro,Stephane Robert,60%,61%,80%,73%,54%,48%,50%,25%,36%,30%,65.0%,63.0%
First,Igor Andreev,6-3 7-6(3) 6-3,2011,m,Igor Andreev,Filippo Volandri,58%,56%,73%,58%,38%,35%,44%,43%,48%,41%,60.0%,64.0%
First,Benoit Paire,6-1 7-5 6-1,2011,m,Benoit Paire,Flavio Cipolla,56%,66%,84%,60%,53%,41%,38%,0%,44%,29%,72.0%,54.0%
